STATION_BOOK_ID	MAX(YEAR)
00000-33030-0-2-0-0	2002
00000-40042-0-9-0-0	2010
82810-00168-0-5-0-0	2017
00000-01002-0-1-0-0	2018
00000-01006-0-5-0-0	2018
00000-01032-0-7-0-0	2018
00000-01035-0-2-0-0	2018
00000-01036-0-1-0-0	2018
00000-01036-0-8-0-0	2018
00000-01040-0-7-0-0	2018
00000-01044-0-5-0-0	2018
00000-01049-0-7-0-0	2018
00000-01050-0-3-0-0	2018
00000-01051-0-5-0-0	2018
00000-01053-0-5-0-0	2018
00000-01056-0-3-0-0	2018
00000-01059-0-3-0-0	2018
00000-01061-0-7-0-0	2018
00000-01072-0-7-0-0	2018
00000-01084-0-3-0-0	2018
00000-01104-0-5-0-0	2018
00000-01120-0-1-0-0	2018
00000-01124-0-8-0-0	2018
00000-01142-0-7-0-0	2018
00000-01308-0-3-0-0	2018
00000-01373-0-6-0-0	2018
00000-01383-0-1-0-0	2018
00000-03088-0-5-0-0	2018
00000-04034-0-5-0-0	2018
00000-04054-0-3-0-0	2018
00000-05014-0-2-0-0	2018
00000-05017-0-8-0-0	2018
00000-05019-0-2-1-0	2018
00000-07032-0-5-2-0	2018
00000-07058-0-8-0-0	2018
00000-07088-0-1-0-0	2018
00000-08023-0-1-0-0	2018
00000-09122-0-3-0-0	2018
00000-09155-0-3-0-0	2018
00000-10023-0-7-0-0	2018
00000-10082-0-1-0-0	2018
00000-10082-0-5-0-0	2018
00000-10082-0-7-0-0	2018
00000-10089-0-5-0-0	2018
00000-10135-0-7-0-0	2018
00000-10180-0-1-0-0	2018
00000-01149-0-1-0-0	2018
00000-01149-0-7-0-0	2018
00000-01150-0-7-0-0	2018
00000-01183-0-3-0-0	2018
00000-01216-0-5-0-0	2018
00000-01238-0-3-0-0	2018
00000-01248-0-1-0-0	2018
00000-01253-0-5-0-0	2018
00000-01268-0-1-0-0	2018
00000-01268-0-9-2-0	2018
00000-01268-0-9-3-0	2018
00000-01268-0-9-4-0	2018
00000-01282-0-2-0-0	2018
00000-01299-0-3-0-0	2018
00000-06018-0-4-0-0	2018
00000-06047-0-1-0-0	2018
00000-06080-0-7-0-0	2018
00000-06099-0-6-0-0	2018
00000-06099-0-7-0-0	2018
00000-06197-0-5-0-0	2018
00000-06240-0-5-0-0	2018
00000-06240-0-7-0-0	2018
00000-06292-0-1-0-0	2018
00000-14471-0-1-0-0	2018
00000-15029-0-3-0-0	2018
00000-15032-0-1-0-0	2018
00000-15034-0-2-0-0	2018
00000-15034-0-4-0-0	2018
00000-16005-0-7-0-0	2018
00000-16060-0-3-0-0	2018
00000-16108-0-3-0-0	2018
00000-16170-0-2-0-0	2018
00000-16171-0-1-0-0	2018
00000-16171-0-5-0-0	2018
00000-18010-0-1-0-0	2018
00000-19007-0-7-0-0	2018
00000-19025-0-1-0-0	2018
00000-19025-0-3-0-0	2018
00000-19039-0-1-0-0	2018
00000-21043-0-7-0-0	2018
00000-23013-0-7-0-0	2018
00000-23026-0-3-0-0	2018
00000-23036-0-3-0-0	2018
00000-24125-0-7-0-0	2018
00000-25041-0-4-0-0	2018
00000-25165-0-5-0-0	2018
00000-25198-0-4-0-0	2018
00000-26026-0-3-0-0	2018
00000-26060-0-1-0-0	2018
00000-27006-0-7-0-0	2018
00000-27009-0-5-0-0	2018
00000-27019-0-3-0-0	2018
00000-27024-0-4-0-0	2018
00000-27047-0-7-0-0	2018
00000-27055-0-3-0-0	2018
00000-27059-0-8-0-0	2018
00000-27076-0-7-0-0	2018
00000-27099-0-1-0-0	2018
00000-27114-0-3-0-0	2018
00000-27120-0-7-0-0	2018
00000-28160-0-1-0-0	2018
00000-28160-0-3-0-0	2018
00000-28162-0-3-0-0	2018
00000-28167-0-1-0-0	2018
00000-28275-0-9-0-0	2018
00000-29031-0-3-0-0	2018
00000-29031-0-5-0-0	2018
00000-29034-0-7-0-0	2018
00000-29087-0-2-0-0	2018
00000-33093-0-5-0-0	2018
00000-34006-0-1-0-0	2018
00000-34006-0-5-0-0	2018
00000-34044-0-5-0-0	2018
00000-34060-0-5-0-0	2018
00000-34117-0-5-0-0	2018
00000-34122-0-3-0-0	2018
00000-35014-0-7-0-0	2018
00000-35072-0-7-0-0	2018
00000-35163-0-5-0-0	2018
00000-36009-0-9-2-0	2018
00000-36077-0-9-1-0	2018
00000-36077-0-9-3-0	2018
00000-37004-0-1-0-0	2018
00000-39011-0-9-3-0	2018
00000-39011-0-9-4-0	2018
00000-39083-0-9-0-0	2018
00000-41019-0-1-0-0	2018
00000-41024-0-5-0-0	2018
00000-41024-0-7-0-0	2018
00000-41026-0-3-0-0	2018
00000-41028-0-7-0-0	2018
00000-42065-0-1-0-0	2018
00000-42093-0-1-0-0	2018
00000-42109-0-5-0-0	2018
00000-42146-0-3-0-0	2018
00000-42151-0-3-0-0	2018
00000-42151-0-5-0-0	2018
00000-42160-0-3-0-0	2018
00000-42160-0-7-0-0	2018
00000-42251-0-7-0-0	2018
00000-12015-0-7-0-0	2018
00000-14015-0-3-0-0	2018
00000-14044-0-1-0-0	2018
00000-14045-0-1-0-0	2018
00000-14045-0-8-0-0	2018
00000-14056-0-3-0-0	2018
00000-14093-0-3-0-0	2018
00000-14204-0-5-0-0	2018
00000-14216-0-1-0-0	2018
00000-14225-0-1-0-0	2018
00000-14273-0-5-0-0	2018
00000-14284-0-1-0-0	2018
00000-14288-0-7-0-0	2018
00000-14291-0-5-0-0	2018
00000-14291-0-7-0-0	2018
00000-14306-0-7-0-0	2018
00000-14317-0-7-0-0	2018
00000-14320-0-7-0-0	2018
00000-14393-0-5-0-0	2018
00000-14404-0-9-3-0	2018
00000-14414-0-3-0-0	2018
00000-14442-0-1-0-0	2018
00000-14456-0-1-0-0	2018
00000-42266-0-8-0-0	2018
00000-42282-0-7-0-0	2018
00000-43018-0-7-0-0	2018
01900-00002-0-1-0-0	2018
06220-00001-0-3-0-0	2018
07840-00040-0-2-0-0	2018
07840-00050-0-1-0-0	2018
07840-00051-0-3-0-0	2018
08560-00004-0-3-0-0	2018
08700-00047-0-7-0-0	2018
08700-00048-0-2-0-0	2018
08700-00049-0-7-0-0	2018
08700-00091-0-7-0-0	2018
08700-00104-0-3-0-0	2018
08700-00462-0-1-0-0	2018
08700-00477-0-6-0-0	2018
08700-00494-0-1-0-0	2018
08700-00566-0-4-0-0	2018
08700-00659-0-1-0-0	2018
08700-00659-0-7-0-0	2018
